SKU,Location,Category,Quantity,Unit_Value,Total_Inventory_Value,Lead_Time_Days,Storage_Type,Supplier_Region,Criticality
SKU-1000,Dubai Freezone,Mechanical,245,154.2,37779,42,Ambient,EMEA,Medium
SKU-1001,Rotterdam Hub,Electronics,412,89.5,36874,14,High Security,APAC,High
SKU-1002,Los Angeles WH,Packaging,120,12.75,1530,7,Ambient,AMER,Low
SKU-1003,Shanghai Port,Raw Materials,488,320.1,156208.8,55,Hazardous,APAC,Critical
SKU-1004,Savannah Logistics,Mechanical,89,442,39338,28,Ambient,EMEA,Medium
SKU-1005,Dubai Freezone,Electronics,334,210.6,70340.4,19,Cold Chain,APAC,High
SKU-1006,Rotterdam Hub,Raw Materials,156,45.2,7051.2,33,Ambient,EMEA,Low
SKU-1007,Los Angeles WH,Mechanical,210,188.4,39564,45,High Security,AMER,Medium
SKU-1008,Shanghai Port,Packaging,500,15.3,7650,12,Ambient,APAC,Low
SKU-1009,Savannah Logistics,Electronics,72,495.8,35697.6,60,Cold Chain,AMER,Critical
SKU-1010,Dubai Freezone,Raw Materials,289,112.4,32483.6,25,Hazardous,EMEA,High
SKU-1011,Rotterdam Hub,Mechanical,143,230.15,32911.45,38,Ambient,APAC,Medium
SKU-1012,Los Angeles WH,Electronics,398,55.9,22248.2,10,High Security,AMER,Low
SKU-1013,Shanghai Port,Packaging,267,18.45,4926.15,15,Ambient,APAC,Medium
SKU-1014,Savannah Logistics,Raw Materials,411,380,156180,48,Hazardous,EMEA,Critical
SKU-1015,Dubai Freezone,Mechanical,188,95.6,17972.8,22,Ambient,APAC,Low
SKU-1016,Rotterdam Hub,Electronics,55,412.3,22676.5,31,Cold Chain,EMEA,High
SKU-1017,Los Angeles WH,Packaging,320,11.2,3584,9,Ambient,AMER,Low
SKU-1018,Shanghai Port,Mechanical,442,125.75,55581.5,40,High Security,APAC,Medium
SKU-1019,Savannah Logistics,Raw Materials,129,290.4,37461.6,52,Hazardous,EMEA,High
SKU-1020,Dubai Freezone,Electronics,401,310.5,124510.5,21,Cold Chain,APAC,High
SKU-1021,Rotterdam Hub,Mechanical,92,45,4140,15,Ambient,EMEA,Low
SKU-1022,Los Angeles WH,Raw Materials,315,215.8,67977,45,Hazardous,AMER,Medium
SKU-1023,Shanghai Port,Packaging,480,8.5,4080,10,Ambient,APAC,Low
SKU-1024,Savannah Logistics,Electronics,210,500,105000,55,High Security,AMER,Critical
SKU-1025,Dubai Freezone,Mechanical,333,120.4,40093.2,30,Ambient,EMEA,Medium
SKU-1026,Rotterdam Hub,Electronics,145,299.9,43485.5,18,Cold Chain,EMEA,High
SKU-1027,Los Angeles WH,Packaging,400,14.2,5680,12,Ambient,AMER,Low
SKU-1028,Shanghai Port,Raw Materials,275,180.5,49637.5,40,Hazardous,APAC,Medium
SKU-1029,Savannah Logistics,Mechanical,120,310,37200,35,High Security,EMEA,High
SKU-1030,Dubai Freezone,Raw Materials,450,45.6,20520,22,Ambient,APAC,Low
SKU-1031,Rotterdam Hub,Electronics,88,412,36256,50,Cold Chain,EMEA,Critical
SKU-1032,Los Angeles WH,Packaging,310,19.5,6045,8,Ambient,AMER,Medium
SKU-1033,Shanghai Port,Mechanical,190,240,45600,44,High Security,APAC,High
SKU-1034,Savannah Logistics,Raw Materials,405,88.2,35721,25,Hazardous,EMEA,Low
SKU-1035,Dubai Freezone,Electronics,267,155.4,41491.8,17,Cold Chain,APAC,Medium
SKU-1036,Rotterdam Hub,Mechanical,115,480,55200,58,Ambient,EMEA,Critical
SKU-1037,Los Angeles WH,Packaging,500,10,5000,11,Ambient,AMER,Low
SKU-1038,Shanghai Port,Raw Materials,322,310.4,99948.8,36,Hazardous,APAC,High
SKU-1039,Savannah Logistics,Electronics,178,220.5,39249,20,High Security,AMER,Medium
SKU-1040,Dubai Freezone,Mechanical,230,190,43700,42,Ambient,EMEA,Low
SKU-1041,Rotterdam Hub,Electronics,340,75.2,25568,14,Cold Chain,APAC,Medium
